start_time : 1655346600.0, datetime : Thu Jun 16 10:30:00 2022, gain : daily_gain============================== start_time 
end_time : 1656645308, datetime : Fri Jul  1 11:15:08 2022, gain : daily_gain============================ end_time 
start_time : 1656645308, datetime : Fri Jul  1 11:15:08 2022, gain : daily_gain============================== start_time 
end_time : 1656645635, datetime : Fri Jul  1 11:20:35 2022, gain : daily_gain============================ end_time 
start_time : 1656645635, datetime : Fri Jul  1 11:20:35 2022, gain : daily_gain============================== start_time 
end_time : 1656645812, datetime : Fri Jul  1 11:23:32 2022, gain : daily_gain============================ end_time 
start_time : 1656645812, datetime : Fri Jul  1 11:23:32 2022, gain : daily_gain============================== start_time 
end_time : 1656646119, datetime : Fri Jul  1 11:28:39 2022, gain : daily_gain============================ end_time 
start_time : 1656646119, datetime : Fri Jul  1 11:28:39 2022, gain : daily_gain============================== start_time 
end_time : 1656646339, datetime : Fri Jul  1 11:32:19 2022, gain : daily_gain============================ end_time 
start_time : 1656646339, datetime : Fri Jul  1 11:32:19 2022, gain : daily_gain============================== start_time 
end_time : 1656646448, datetime : Fri Jul  1 11:34:08 2022, gain : daily_gain============================ end_time 
start_time : 1656646448, datetime : Fri Jul  1 11:34:08 2022, gain : daily_gain============================== start_time 
end_time : 1656646634, datetime : Fri Jul  1 11:37:14 2022, gain : daily_gain============================ end_time 
start_time : 1656646634, datetime : Fri Jul  1 11:37:14 2022, gain : daily_gain============================== start_time 
end_time : 1656646967, datetime : Fri Jul  1 11:42:47 2022, gain : daily_gain============================ end_time 
start_time : 1656646967, datetime : Fri Jul  1 11:42:47 2022, gain : daily_gain============================== start_time 
end_time : 1656647218, datetime : Fri Jul  1 11:46:58 2022, gain : daily_gain============================ end_time 
start_time : 1656647218, datetime : Fri Jul  1 11:46:58 2022, gain : daily_gain============================== start_time 
end_time : 1656647535, datetime : Fri Jul  1 11:52:15 2022, gain : daily_gain============================ end_time 
start_time : 1656647535, datetime : Fri Jul  1 11:52:15 2022, gain : daily_gain============================== start_time 
end_time : 1656647758, datetime : Fri Jul  1 11:55:58 2022, gain : daily_gain============================ end_time 
start_time : 1656647758, datetime : Fri Jul  1 11:55:58 2022, gain : daily_gain============================== start_time 
end_time : 1656647985, datetime : Fri Jul  1 11:59:45 2022, gain : daily_gain============================ end_time 
start_time : 1656647985, datetime : Fri Jul  1 11:59:45 2022, gain : daily_gain============================== start_time 
end_time : 1656648128, datetime : Fri Jul  1 12:02:08 2022, gain : daily_gain============================ end_time 
start_time : 1656648128, datetime : Fri Jul  1 12:02:08 2022, gain : daily_gain============================== start_time 
end_time : 1656648323, datetime : Fri Jul  1 12:05:23 2022, gain : daily_gain============================ end_time 
start_time : 1656648323, datetime : Fri Jul  1 12:05:23 2022, gain : daily_gain============================== start_time 
end_time : 1656648497, datetime : Fri Jul  1 12:08:17 2022, gain : daily_gain============================ end_time 
start_time : 1656648497, datetime : Fri Jul  1 12:08:17 2022, gain : daily_gain============================== start_time 
end_time : 1656648725, datetime : Fri Jul  1 12:12:05 2022, gain : daily_gain============================ end_time 
start_time : 1656648725, datetime : Fri Jul  1 12:12:05 2022, gain : daily_gain============================== start_time 
end_time : 1656648929, datetime : Fri Jul  1 12:15:29 2022, gain : daily_gain============================ end_time 
start_time : 1656648929, datetime : Fri Jul  1 12:15:29 2022, gain : daily_gain============================== start_time 
end_time : 1656649247, datetime : Fri Jul  1 12:20:47 2022, gain : daily_gain============================ end_time 
start_time : 1656649247, datetime : Fri Jul  1 12:20:47 2022, gain : daily_gain============================== start_time 
end_time : 1656649561, datetime : Fri Jul  1 12:26:01 2022, gain : daily_gain============================ end_time 
start_time : 1656649561, datetime : Fri Jul  1 12:26:01 2022, gain : daily_gain============================== start_time 
end_time : 1656649849, datetime : Fri Jul  1 12:30:49 2022, gain : daily_gain============================ end_time 
start_time : 1656649849, datetime : Fri Jul  1 12:30:49 2022, gain : daily_gain============================== start_time 
end_time : 1656650080, datetime : Fri Jul  1 12:34:40 2022, gain : daily_gain============================ end_time 
start_time : 1656650080, datetime : Fri Jul  1 12:34:40 2022, gain : daily_gain============================== start_time 
end_time : 1656650175, datetime : Fri Jul  1 12:36:15 2022, gain : daily_gain============================ end_time 
start_time : 1656650175, datetime : Fri Jul  1 12:36:15 2022, gain : daily_gain============================== start_time 
end_time : 1656650321, datetime : Fri Jul  1 12:38:41 2022, gain : daily_gain============================ end_time 
start_time : 1656650321, datetime : Fri Jul  1 12:38:41 2022, gain : daily_gain============================== start_time 
end_time : 1656650446, datetime : Fri Jul  1 12:40:46 2022, gain : daily_gain============================ end_time 
start_time : 1656650446, datetime : Fri Jul  1 12:40:46 2022, gain : daily_gain============================== start_time 
end_time : 1656650664, datetime : Fri Jul  1 12:44:24 2022, gain : daily_gain============================ end_time 
start_time : 1656650664, datetime : Fri Jul  1 12:44:24 2022, gain : daily_gain============================== start_time 
end_time : 1656650747, datetime : Fri Jul  1 12:45:47 2022, gain : daily_gain============================ end_time 
start_time : 1656650747, datetime : Fri Jul  1 12:45:47 2022, gain : daily_gain============================== start_time 
end_time : 1656651051, datetime : Fri Jul  1 12:50:51 2022, gain : daily_gain============================ end_time 
start_time : 1656651051, datetime : Fri Jul  1 12:50:51 2022, gain : daily_gain============================== start_time 
end_time : 1656651106, datetime : Fri Jul  1 12:51:46 2022, gain : daily_gain============================ end_time 
start_time : 1656651106, datetime : Fri Jul  1 12:51:46 2022, gain : daily_gain============================== start_time 
end_time : 1656651212, datetime : Fri Jul  1 12:53:32 2022, gain : daily_gain============================ end_time 
start_time : 1656651212, datetime : Fri Jul  1 12:53:32 2022, gain : daily_gain============================== start_time 
end_time : 1656651348, datetime : Fri Jul  1 12:55:48 2022, gain : daily_gain============================ end_time 
start_time : 1656651348, datetime : Fri Jul  1 12:55:48 2022, gain : daily_gain============================== start_time 
end_time : 1656651684, datetime : Fri Jul  1 13:01:24 2022, gain : daily_gain============================ end_time 
start_time : 1656651684, datetime : Fri Jul  1 13:01:24 2022, gain : daily_gain============================== start_time 
end_time : 1656651989, datetime : Fri Jul  1 13:06:29 2022, gain : daily_gain============================ end_time 
start_time : 1656651989, datetime : Fri Jul  1 13:06:29 2022, gain : daily_gain============================== start_time 
end_time : 1656652203, datetime : Fri Jul  1 13:10:03 2022, gain : daily_gain============================ end_time 
start_time : 1656652203, datetime : Fri Jul  1 13:10:03 2022, gain : daily_gain============================== start_time 
end_time : 1656652453, datetime : Fri Jul  1 13:14:13 2022, gain : daily_gain============================ end_time 
start_time : 1656652453, datetime : Fri Jul  1 13:14:13 2022, gain : daily_gain============================== start_time 
end_time : 1656652568, datetime : Fri Jul  1 13:16:08 2022, gain : daily_gain============================ end_time 
start_time : 1656652568, datetime : Fri Jul  1 13:16:08 2022, gain : daily_gain============================== start_time 
end_time : 1656652706, datetime : Fri Jul  1 13:18:26 2022, gain : daily_gain============================ end_time 
start_time : 1656864000, datetime : Mon Jul  4 00:00:00 2022, gain : daily_gain============================== start_time 
end_time : 1656945577, datetime : Mon Jul  4 22:39:37 2022, gain : daily_gain============================ end_time 
start_time : 1656864000, datetime : Mon Jul  4 00:00:00 2022, gain : daily_gain============================== start_time 
end_time : 1656945635, datetime : Mon Jul  4 22:40:35 2022, gain : daily_gain============================ end_time 
start_time : 1656945635, datetime : Mon Jul  4 22:40:35 2022, gain : daily_gain============================== start_time 
end_time : 1656945721, datetime : Mon Jul  4 22:42:01 2022, gain : daily_gain============================ end_time 
start_time : 1657036800, datetime : Wed Jul  6 00:00:00 2022, gain : daily_gain============================== start_time 
end_time : 1657080720, datetime : Wed Jul  6 12:12:00 2022, gain : daily_gain============================ end_time 
start_time : 1657080720, datetime : Wed Jul  6 12:12:00 2022, gain : daily_gain============================== start_time 
end_time : 1657081002, datetime : Wed Jul  6 12:16:42 2022, gain : daily_gain============================ end_time 
start_time : 1657081002, datetime : Wed Jul  6 12:16:42 2022, gain : daily_gain============================== start_time 
end_time : 1657081319, datetime : Wed Jul  6 12:21:59 2022, gain : daily_gain============================ end_time 
start_time : 1657081319, datetime : Wed Jul  6 12:21:59 2022, gain : daily_gain============================== start_time 
end_time : 1657081477, datetime : Wed Jul  6 12:24:37 2022, gain : daily_gain============================ end_time 
start_time : 1657081477, datetime : Wed Jul  6 12:24:37 2022, gain : daily_gain============================== start_time 
end_time : 1657081744, datetime : Wed Jul  6 12:29:04 2022, gain : daily_gain============================ end_time 
start_time : 1657081744, datetime : Wed Jul  6 12:29:04 2022, gain : daily_gain============================== start_time 
end_time : 1657081853, datetime : Wed Jul  6 12:30:53 2022, gain : daily_gain============================ end_time 
start_time : 1657081853, datetime : Wed Jul  6 12:30:53 2022, gain : daily_gain============================== start_time 
end_time : 1657081989, datetime : Wed Jul  6 12:33:09 2022, gain : daily_gain============================ end_time 
start_time : 1657081989, datetime : Wed Jul  6 12:33:09 2022, gain : daily_gain============================== start_time 
end_time : 1657082154, datetime : Wed Jul  6 12:35:54 2022, gain : daily_gain============================ end_time 
start_time : 1657082154, datetime : Wed Jul  6 12:35:54 2022, gain : daily_gain============================== start_time 
end_time : 1657082290, datetime : Wed Jul  6 12:38:10 2022, gain : daily_gain============================ end_time 
start_time : 1657082290, datetime : Wed Jul  6 12:38:10 2022, gain : daily_gain============================== start_time 
end_time : 1657082429, datetime : Wed Jul  6 12:40:29 2022, gain : daily_gain============================ end_time 
start_time : 1657082429, datetime : Wed Jul  6 12:40:29 2022, gain : daily_gain============================== start_time 
end_time : 1657082562, datetime : Wed Jul  6 12:42:42 2022, gain : daily_gain============================ end_time 
start_time : 1657082562, datetime : Wed Jul  6 12:42:42 2022, gain : daily_gain============================== start_time 
end_time : 1657082892, datetime : Wed Jul  6 12:48:12 2022, gain : daily_gain============================ end_time 
start_time : 1657082892, datetime : Wed Jul  6 12:48:12 2022, gain : daily_gain============================== start_time 
end_time : 1657083005, datetime : Wed Jul  6 12:50:05 2022, gain : daily_gain============================ end_time 
start_time : 1657083005, datetime : Wed Jul  6 12:50:05 2022, gain : daily_gain============================== start_time 
end_time : 1657083157, datetime : Wed Jul  6 12:52:37 2022, gain : daily_gain============================ end_time 
start_time : 1657083157, datetime : Wed Jul  6 12:52:37 2022, gain : daily_gain============================== start_time 
end_time : 1657083369, datetime : Wed Jul  6 12:56:09 2022, gain : daily_gain============================ end_time 
start_time : 1657083369, datetime : Wed Jul  6 12:56:09 2022, gain : daily_gain============================== start_time 
end_time : 1657083456, datetime : Wed Jul  6 12:57:36 2022, gain : daily_gain============================ end_time 
start_time : 1657083456, datetime : Wed Jul  6 12:57:36 2022, gain : daily_gain============================== start_time 
end_time : 1657083656, datetime : Wed Jul  6 13:00:56 2022, gain : daily_gain============================ end_time 
start_time : 1657083656, datetime : Wed Jul  6 13:00:56 2022, gain : daily_gain============================== start_time 
end_time : 1657083974, datetime : Wed Jul  6 13:06:14 2022, gain : daily_gain============================ end_time 
start_time : 1657083974, datetime : Wed Jul  6 13:06:14 2022, gain : daily_gain============================== start_time 
end_time : 1657084214, datetime : Wed Jul  6 13:10:14 2022, gain : daily_gain============================ end_time 
start_time : 1657084214, datetime : Wed Jul  6 13:10:14 2022, gain : daily_gain============================== start_time 
end_time : 1657084389, datetime : Wed Jul  6 13:13:09 2022, gain : daily_gain============================ end_time 
start_time : 1657084389, datetime : Wed Jul  6 13:13:09 2022, gain : daily_gain============================== start_time 
end_time : 1657084593, datetime : Wed Jul  6 13:16:33 2022, gain : daily_gain============================ end_time 
start_time : 1657084593, datetime : Wed Jul  6 13:16:33 2022, gain : daily_gain============================== start_time 
end_time : 1657084868, datetime : Wed Jul  6 13:21:08 2022, gain : daily_gain============================ end_time 
start_time : 1657084868, datetime : Wed Jul  6 13:21:08 2022, gain : daily_gain============================== start_time 
end_time : 1657085175, datetime : Wed Jul  6 13:26:15 2022, gain : daily_gain============================ end_time 
start_time : 1657085175, datetime : Wed Jul  6 13:26:15 2022, gain : daily_gain============================== start_time 
end_time : 1657085375, datetime : Wed Jul  6 13:29:35 2022, gain : daily_gain============================ end_time 
start_time : 1657085375, datetime : Wed Jul  6 13:29:35 2022, gain : daily_gain============================== start_time 
end_time : 1657085684, datetime : Wed Jul  6 13:34:44 2022, gain : daily_gain============================ end_time 
start_time : 1657085684, datetime : Wed Jul  6 13:34:44 2022, gain : daily_gain============================== start_time 
end_time : 1657085735, datetime : Wed Jul  6 13:35:35 2022, gain : daily_gain============================ end_time 
start_time : 1657085735, datetime : Wed Jul  6 13:35:35 2022, gain : daily_gain============================== start_time 
end_time : 1657085923, datetime : Wed Jul  6 13:38:43 2022, gain : daily_gain============================ end_time 
start_time : 1657085923, datetime : Wed Jul  6 13:38:43 2022, gain : daily_gain============================== start_time 
end_time : 1657086168, datetime : Wed Jul  6 13:42:48 2022, gain : daily_gain============================ end_time 
start_time : 1657086168, datetime : Wed Jul  6 13:42:48 2022, gain : daily_gain============================== start_time 
end_time : 1657086251, datetime : Wed Jul  6 13:44:11 2022, gain : daily_gain============================ end_time 
start_time : 1657086251, datetime : Wed Jul  6 13:44:11 2022, gain : daily_gain============================== start_time 
end_time : 1657086570, datetime : Wed Jul  6 13:49:30 2022, gain : daily_gain============================ end_time 
start_time : 1657086570, datetime : Wed Jul  6 13:49:30 2022, gain : daily_gain============================== start_time 
end_time : 1657086807, datetime : Wed Jul  6 13:53:27 2022, gain : daily_gain============================ end_time 
start_time : 1657086807, datetime : Wed Jul  6 13:53:27 2022, gain : daily_gain============================== start_time 
end_time : 1657086879, datetime : Wed Jul  6 13:54:39 2022, gain : daily_gain============================ end_time 
start_time : 1657086879, datetime : Wed Jul  6 13:54:39 2022, gain : daily_gain============================== start_time 
end_time : 1657087013, datetime : Wed Jul  6 13:56:53 2022, gain : daily_gain============================ end_time 
start_time : 1657087013, datetime : Wed Jul  6 13:56:53 2022, gain : daily_gain============================== start_time 
end_time : 1657087083, datetime : Wed Jul  6 13:58:03 2022, gain : daily_gain============================ end_time 
start_time : 1657087083, datetime : Wed Jul  6 13:58:03 2022, gain : daily_gain============================== start_time 
end_time : 1657087376, datetime : Wed Jul  6 14:02:56 2022, gain : daily_gain============================ end_time 
start_time : 1657087376, datetime : Wed Jul  6 14:02:56 2022, gain : daily_gain============================== start_time 
end_time : 1657087482, datetime : Wed Jul  6 14:04:42 2022, gain : daily_gain============================ end_time 
start_time : 1657087482, datetime : Wed Jul  6 14:04:42 2022, gain : daily_gain============================== start_time 
end_time : 1657087537, datetime : Wed Jul  6 14:05:37 2022, gain : daily_gain============================ end_time 
start_time : 1657087537, datetime : Wed Jul  6 14:05:37 2022, gain : daily_gain============================== start_time 
end_time : 1657098501, datetime : Wed Jul  6 17:08:21 2022, gain : daily_gain============================ end_time 
start_time : 1657098501, datetime : Wed Jul  6 17:08:21 2022, gain : daily_gain============================== start_time 
end_time : 1657098675, datetime : Wed Jul  6 17:11:15 2022, gain : daily_gain============================ end_time 
start_time : 1657098675, datetime : Wed Jul  6 17:11:15 2022, gain : daily_gain============================== start_time 
end_time : 1657098902, datetime : Wed Jul  6 17:15:02 2022, gain : daily_gain============================ end_time 
start_time : 1657098902, datetime : Wed Jul  6 17:15:02 2022, gain : daily_gain============================== start_time 
end_time : 1657099011, datetime : Wed Jul  6 17:16:51 2022, gain : daily_gain============================ end_time 
start_time : 1657099011, datetime : Wed Jul  6 17:16:51 2022, gain : daily_gain============================== start_time 
end_time : 1657099332, datetime : Wed Jul  6 17:22:12 2022, gain : daily_gain============================ end_time 
start_time : 1657099332, datetime : Wed Jul  6 17:22:12 2022, gain : daily_gain============================== start_time 
end_time : 1657099497, datetime : Wed Jul  6 17:24:57 2022, gain : daily_gain============================ end_time 
start_time : 1657099497, datetime : Wed Jul  6 17:24:57 2022, gain : daily_gain============================== start_time 
end_time : 1657099653, datetime : Wed Jul  6 17:27:33 2022, gain : daily_gain============================ end_time 
start_time : 1657099653, datetime : Wed Jul  6 17:27:33 2022, gain : daily_gain============================== start_time 
end_time : 1657099739, datetime : Wed Jul  6 17:28:59 2022, gain : daily_gain============================ end_time 
start_time : 1657099739, datetime : Wed Jul  6 17:28:59 2022, gain : daily_gain============================== start_time 
end_time : 1657099850, datetime : Wed Jul  6 17:30:50 2022, gain : daily_gain============================ end_time 
start_time : 1657099850, datetime : Wed Jul  6 17:30:50 2022, gain : daily_gain============================== start_time 
end_time : 1657100043, datetime : Wed Jul  6 17:34:03 2022, gain : daily_gain============================ end_time 
start_time : 1657100043, datetime : Wed Jul  6 17:34:03 2022, gain : daily_gain============================== start_time 
end_time : 1657100260, datetime : Wed Jul  6 17:37:40 2022, gain : daily_gain============================ end_time 
start_time : 1657100260, datetime : Wed Jul  6 17:37:40 2022, gain : daily_gain============================== start_time 
end_time : 1657100540, datetime : Wed Jul  6 17:42:20 2022, gain : daily_gain============================ end_time 
start_time : 1657100540, datetime : Wed Jul  6 17:42:20 2022, gain : daily_gain============================== start_time 
end_time : 1657100704, datetime : Wed Jul  6 17:45:04 2022, gain : daily_gain============================ end_time 
start_time : 1657100704, datetime : Wed Jul  6 17:45:04 2022, gain : daily_gain============================== start_time 
end_time : 1657100944, datetime : Wed Jul  6 17:49:04 2022, gain : daily_gain============================ end_time 
start_time : 1657100944, datetime : Wed Jul  6 17:49:04 2022, gain : daily_gain============================== start_time 
end_time : 1657101219, datetime : Wed Jul  6 17:53:39 2022, gain : daily_gain============================ end_time 
start_time : 1657101219, datetime : Wed Jul  6 17:53:39 2022, gain : daily_gain============================== start_time 
end_time : 1657101371, datetime : Wed Jul  6 17:56:11 2022, gain : daily_gain============================ end_time 
start_time : 1657101371, datetime : Wed Jul  6 17:56:11 2022, gain : daily_gain============================== start_time 
end_time : 1657101493, datetime : Wed Jul  6 17:58:13 2022, gain : daily_gain============================ end_time 
start_time : 1657101493, datetime : Wed Jul  6 17:58:13 2022, gain : daily_gain============================== start_time 
end_time : 1657101733, datetime : Wed Jul  6 18:02:13 2022, gain : daily_gain============================ end_time 
start_time : 1657101733, datetime : Wed Jul  6 18:02:13 2022, gain : daily_gain============================== start_time 
end_time : 1657102023, datetime : Wed Jul  6 18:07:03 2022, gain : daily_gain============================ end_time 
